Note	Frequency (193362 in total)
mess	6
missing	6
myself	6
n2/5	6
n235	6
n34]	6
n35	6
o34	6
o35	6
p24	6
p]	6
passbluff	6
prio:	6
pushed	6
r24	6
r2]	6
r4]	6
rb5	6
reaaally	6
regret	6
retroactively	6
rk3	6
ry4	6
saves	6
scary	6
schark	6
screams	6
seemingly	6
set	6
she'll	6
shocked	6
sigh	6
silly	6
slightly	6
slow	6
soft	6
sorta	6
speedup	6
spoook	6
spoooooook	6
starting	6
stumped	6
surprising	6
talk	6
tccms	6
terrifying	6
tf	6
through	6
tiny	6
touched	6
trigger	6
value	6
w34	6
where	6
worried	6
y/g	6
yb4	6
yg2	6
yk	6
yr3	6
!i4	5
!k	5
!m5	5
!p1	5
!p4	5
!p5	5
!yb	5
'fixed'	5
(3)	5
(also	5
(hopefully	5
(now	5
(unless	5
*also*	5
*lot*	5
14	5
1pp	5
2/4	5
3/5	5
3bluffs	5
3d	5
5pull	5
:bomb:	5
<-----	5
@	5
[2]?	5
[3]?	5
[5]ish	5
[b1]?	5
[b2]?	5
[c]	5
[cm]d?	5
[fixme]	5
[m3	5
[m4]?	5
[r1	5
[r2]?	5
[r34	5
[t]	5
[w4]	5
adios	5
afford	5
agree	5
alrighty	5
although	5
amb	5
annoying	5
awhile	5
b1o2	5
badtouch	5
bb	5
bd	5
bg2	5
bi4	5
blast	5
blind-played	5
blind-plays	5
blindplays	5
blue)	5
bluff)	5
boring	5
botched	5
bp2	5
bp4	5
by3	5
clarified	5
clue:	5
commit	5
d3	5
dani	5
decent	5
deep	5
demonstrated	5
drawing	5
dump	5
duping	5
ehhh	5
etc	5
explain	5
fill	5
finesse)	5
fire	5
follow-up	5
funky	5
funny	5
g1s	5
g24	5
gb3	5
gbk	5
globally	5
gone	5
hanabi	5
having	5
helps	5
hmmmmmmm	5
honestly	5
ib2	5
inefficient	5
intentionally	5
inverted	5
joel	5
k3/4	5
kevin	5
killing	5
knew	5
knowing	5
late	5
lime	5
loool	5
lots	5
m]	5
madlad	5
making	5
mind	5
minus	5
miss	5
moved	5
n245	5
nitrate	5
non	5
o/	5
o24	5
o5]	5
ocm'd	5
ofuck	5
oh...is	5
ohhh	5
ohno	5
oi	5
oooh	5
options	5
own	5
p235	5
part	5
playable:	5
playables	5
plzno	5
pog	5
previous	5
pulled	5
r/g	5
r2o1	5
r3m2	5
r]	5
random	5
ready	5
redistributing	5
reds	5
rgp	5
rm4	5
roe	5
safe-ish	5
save)	5
saving	5
scared	5
scratch	5
screaming	5
seeing	5
sequence	5
sheesh	5
shouted	5
spooooook	5
spooooooook	5
sufficiently	5
t57	5
t66	5
t^t	5
taken	5
tbd	5
tccm'd	5
thanks	5
them	5
today	5
turnabout	5
u2345	5
u25	5
u345]	5
u3]	5
uhhhhhhhh	5
utb	5
uutd	5
wants	5
wish	5
wk	5
y/r	5
y234	5
y24	5
y3/5	5
yb2	5
ybk	5
ygi	5
yo5	5
yoloing	5
yr4	5
yup	5
yw	5
zak	5
!g1	4
!gi	4
!u1	4
!u5	4
!w3	4
!y]	4
'4'	4
'promise'	4
(2)	4
(4	4
(4)	4
(but	4
(might	4
(ok	4
(t30)	4
(thinks	4
(to	4
(would	4
*actually*	4
*am*	4
*do*	4
*i*	4
*is*	4
*isn't*	4
*still*	4
------->	4
--->)	4
1/2	4
15	4
16	4
2)	4
3-bluff	4
3]	4
3ish	4
3rd	4
4)	4
4save	4
50/50	4
5g	4
5pp'd	4
5stall	4
8clue	4
:clap:	4
??????	4
[!4]	4
[!bg]	4
[!g	4
[!r4]	4
[1	4
[25]	4
[b5	4
[cm]'d	4
[cm]:	4
[fixed	4
[g45]	4
[g4]?	4
[g]?	4
[gd]?	4
[i	4
[i1	4
[i3]?	4
[i5]?	4
[k2]	4
[l3]	4
[m34]	4
[n3	4
[n]	4
[p3]?	4
[rb]	4
[u1]	4
[u2]?	4
[u45]	4
[u5]?	4
[w	4
[w5]	4
[y]?	4
]	4
a]	4
absurd	4
af/[cm]	4
agd	4
ain't	4
allow	4
ambitious	4
avander	4
avoid	4
avoiding	4
b1]	4
b2+3?	4
b2]	4
b345	4
b4/5	4
b4m5	4
b4s	4
blaze)	4
blazed	4
bo3	4
board	4
bode	4
br4	4
break	4
btcme	4
buy	4
care	4
cause	4
choosing	4
christ	4
clandestine	4
clarify	4
clearer	4
cm's	4
cmon	4
come	4
considered	4
contextually	4
continues	4
conventionally	4
days	4
definite	4
depends	4
despite	4
dirty	4
discard)	4
dmoney	4
dobi	4
dry	4
dummy	4
ehh	4
ejected	4
ejects	4
elimination	4
esp	4
explosive	4
extreme	4
ez	4
final	4
fix]	4
flori's	4
focus:	4
forcing	4
forget	4
fresh	4
g)	4
g234	4
g2m3	4
g2s	4
ga	4
gb2	4
gba	4
gm23	4
go2	4
goodness	4
goodtouch	4
gr2	4
gross	4
gy3	4
half	4
helena	4
highly	4
hinting	4
hmmmmmmmm	4
hooopefully	4
huh...maybe	4
i345	4
ic	4
im5	4
important:	4
intent	4
k2345	4
k4]	4
km5	4
kr	4
kw	4
lc	4
lh	4
