player	teammate	wr	wins	games
eliclax	Wittvector	22.22	12	54
eliclax	Sucubis	22.22	18	81
eliclax	eliclax	22.16	428	1931
eliclax	nitawa	21.93	25	114
eliclax	ace201	21.21	21	99
eliclax	Lanvin	21.11	72	341
eliclax	gchang02	20.37	11	54
eliclax	Lel0uch	19.78	18	91
eliclax	Pablo-	19.59	19	97
eliclax	melwen	18.92	14	74
eliclax	possum	17.54	20	114
eliclax	sheepmolester	17.24	10	58
eliclax	dobi	15.71	11	70
eliclax	newduke	11.63	20	172
eliclax	3swag3pro	11.43	8	70
eliclax	indego	11.11	9	81
eliclax	MX1	3.64	2	55
eliclax	Kazu	0	0	66
Fireheart	honzas	27.27	15	55
Fireheart	sjdrodge	23.81	15	63
Fireheart	kimbifille	22.79	49	215
Fireheart	Valetta6789	22.13	241	1089
Fireheart	asaelr	21.97	136	619
Fireheart	Floriman	21.67	101	466
Fireheart	awe	20.63	13	63
Fireheart	micerang	20.53	117	570
Fireheart	Kyle	18.89	146	773
Fireheart	Fireheart	17.88	757	4234
Fireheart	Livia	17.76	73	411
Fireheart	RaKXeR	17.72	28	158
Fireheart	wortel	17.65	18	102
Fireheart	Ptheven	17.46	11	63
Fireheart	kodomazer	16.67	17	102
Fireheart	IAMJEFF	16.29	167	1025
Fireheart	scharkbite	15.84	102	644
Fireheart	Libster	15.74	31	197
Fireheart	Dr_Kakashi	15.69	88	561
Fireheart	Romain672	15.67	42	268
Fireheart	Razvogor	15.32	17	111
Fireheart	kopen	15.21	40	263
Fireheart	NoMercy	14.91	17	114
Fireheart	Sucubis	14.18	20	141
Fireheart	sankala fan	13.24	9	68
Fireheart	invarse	12.79	11	86
Fireheart	pianoblook	12.2	10	82
Fireheart	Jake_Stiles	10.62	24	226
Fireheart	florrat2	10.1	10	99
Fireheart	Zamiel	9.65	93	964
Fireheart	DMoney	9.43	20	212
Fireheart	Yeesh	9.09	5	55
Fireheart	sin_faith	6.25	5	80
Fireheart	Animex52	5.88	3	51
Fireheart	indego	4.69	3	64
Floriman	sjdrodge	39.62	21	53
Floriman	Fey	33.85	22	65
Floriman	Shos	32.2	19	59
Floriman	postmans	30.19	16	53
Floriman	Nitrate	29.82	17	57
Floriman	Pablo-	29.41	25	85
Floriman	ADrone	28.57	22	77
Floriman	micerang	26.46	59	223
Floriman	TheDaniMan	25.88	22	85
Floriman	Valetta6789	25.26	167	661
Floriman	TimeHoodie	24.76	78	315
Floriman	MarkusKahlsen	24.42	21	86
Floriman	piper	24.37	29	119
Floriman	kimbifille	23.77	184	774
Floriman	asaelr	23.56	156	662
Floriman	swineherd	23.44	15	64
Floriman	melwen	23.3	24	103
Floriman	wortel	23.19	16	69
Floriman	Fireheart	21.67	101	466
Floriman	Floriman	21.56	891	4133
Floriman	kodomazer	21.28	20	94
Floriman	scharkbite	21.12	139	658
Floriman	Lel0uch	21.11	19	90
Floriman	Jake_Stiles	21.05	12	57
Floriman	sephiroth	20.35	47	231
Floriman	honzas	20.13	30	149
Floriman	jack67889	20	16	80
Floriman	plus	19.81	21	106
Floriman	newduke	19.7	13	66
Floriman	indego	19.66	23	117
Floriman	pianoblook	19.39	51	263
Floriman	Kyle	19.18	172	897
Floriman	Wittvector	18.97	11	58
Floriman	Dr_Kakashi	18.75	159	848
Floriman	Sucubis	18.68	17	91
Floriman	Lanvin	18.35	40	218
Floriman	RaKXeR	18.32	35	191
Floriman	sin_faith	17.86	25	140
Floriman	Libster	17.39	20	115
Floriman	Livia	17.13	61	356
Floriman	IAMJEFF	16.6	40	241
Floriman	Romain672	15.96	15	94
Floriman	DMoney	15.77	47	298
Floriman	padi	15.65	23	147
Floriman	Zamiel	15.12	39	258
Floriman	derekcheah	13.58	11	81
Floriman	lotem	12.93	15	116
Floriman	kopen	11.81	15	127
Floriman	duckmammal	11.49	10	87
Floriman	will.i.am	11.29	7	62
Floriman	ChristopheAF	9.52	8	84
Floriman	awe	8.99	8	89
florrat2	sjdrodge	28.15	67	238
florrat2	Instantiation	27.93	31	111
florrat2	Swifter	23.85	26	109
florrat2	postmans	23.23	23	99
florrat2	Mike	22.89	19	83
florrat2	Libster	21.63	239	1105
florrat2	florrat2	21.07	437	2074
florrat2	sankala	20.15	27	134
florrat2	Hyakinthus	20	15	75
florrat2	Zamiel	18.74	169	902
florrat2	Asddsa76	18.57	13	70
florrat2	NoMercy	18.08	66	365
florrat2	Razgovor	17.45	26	149
florrat2	Dr_Kakashi	17.24	10	58
florrat2	sankala fan	17.24	10	58
florrat2	NotRaKXeR	17.14	18	105
florrat2	RaKXeR	16.72	52	311
florrat2	Andrew_UK	16.67	12	72
florrat2	scharkbite	14.84	27	182
florrat2	Cory	14.12	25	177
florrat2	Razvogor	13.22	16	121
florrat2	micerang	11.65	12	103
florrat2	910dan	11.36	15	132
florrat2	Fireheart	10.1	10	99
florrat2	IAMJEFF	9.52	6	63
florrat2	Kyle	6.45	4	62
florrat2	Jake_Stiles	6.25	4	64
florrat2	garbo late game	1.85	1	54
IAMJEFF	TimeHoodie	21.62	24	111
IAMJEFF	micerang	21.41	67	313
IAMJEFF	wortel	20.9	14	67
IAMJEFF	ChristopheAF	20.25	16	79
IAMJEFF	NoMercy	20.25	16	79
IAMJEFF	melwen	20.21	19	94
IAMJEFF	pianoblook	19.73	29	147
IAMJEFF	dobi	19.61	10	51
IAMJEFF	Cory	19.61	10	51
IAMJEFF	duckmammal	19.61	10	51
IAMJEFF	Sucubis	19.47	37	190
IAMJEFF	Lanvin	19.21	39	203
IAMJEFF	sin_faith	19.21	29	151
IAMJEFF	Lel0uch	18.85	46	244
IAMJEFF	piper	18.81	19	101
IAMJEFF	kimbifille	18.76	85	453
IAMJEFF	Valetta6789	18.64	104	558
IAMJEFF	asaelr	18.58	84	452
IAMJEFF	scharkbite	18.49	105	568
IAMJEFF	Kyle	18.36	67	365
IAMJEFF	IAMJEFF	18.23	730	4005
IAMJEFF	Dr_Kakashi	18.15	177	975
IAMJEFF	arv	18.09	17	94
IAMJEFF	Romain672	17.86	20	112
IAMJEFF	qqqq	17.71	17	96
IAMJEFF	Livia	17.01	41	241
IAMJEFF	Floriman	16.6	40	241
IAMJEFF	indego	16.39	10	61
IAMJEFF	frosty104	16.39	20	122
IAMJEFF	Fireheart	16.29	167	1025
IAMJEFF	Jake_Stiles	15.98	35	219
IAMJEFF	kopen	15.57	19	122
IAMJEFF	efaust	14.93	10	67
IAMJEFF	Razvogor	14.75	9	61
IAMJEFF	ace201	14.38	21	146
IAMJEFF	Libster	14.07	19	135
IAMJEFF	newduke	13.3	27	203
IAMJEFF	DMoney	13.04	9	69
IAMJEFF	kodomazer	12.28	7	57
IAMJEFF	sjdrodge	11.96	11	92
IAMJEFF	RaKXeR	11.48	7	61
IAMJEFF	Zamiel	10.91	53	486
IAMJEFF	florrat2	9.52	6	63
indego	scharkbite	27.45	14	51
indego	rahsosprout	22.78	18	79
indego	wump	20.48	17	83
indego	timotree	20.27	15	74
indego	Floriman	19.66	23	117
indego	kimbifille	19.59	19	97
indego	Fey	19.19	19	99
indego	macanek	18.18	14	77
indego	antitelharsic	18.18	10	55
indego	pianoblook	17.32	22	127
indego	Sucubis	17.09	20	117
indego	IAMJEFF	16.39	10	61
indego	MarkusKahlsen	16.31	38	233
indego	TheDaniMan	15.88	71	447
indego	aquarelle	15.79	9	57
indego	asaelr	15.38	14	91
indego	Pablo-	15.24	16	105
indego	Lel0uch	14.6	220	1507
indego	sean1815	14.55	8	55
indego	Bot-Fiora	14.29	8	56
indego	indego	13.84	624	4508
indego	sin_faith	13.56	32	236
indego	4head	13.46	21	156
indego	frosty104	13.39	32	239
indego	kevincaseytdk1	13.37	27	202
indego	Aluap	13.24	9	68
indego	robense	13.1	11	84
indego	melwen	13.03	80	614
indego	derekcheah	12.99	30	231
indego	dobi	12.94	48	371
indego	Lanvin	12.44	109	876
indego	TimeHoodie	12.36	34	275
indego	swineherd	11.67	7	60
indego	HelanaAshryvr	11.58	22	190
indego	XMIL	11.54	6	52
