Players	Avg eff	Num of games	Link
HelanaAshryvr, Kyle, MarkusKahlsen, TimeHoodie, wshull	1.82	1	https://hanab.live/history/HelanaAshryvr/Kyle/MarkusKahlsen/TimeHoodie/wshull
IcyPanda, joano580, posij118, Tailz, yuto	1.82	1	https://hanab.live/history/IcyPanda/joano580/posij118/Tailz/yuto
ace201, Dr_Kakashi, TheDaniMan	1.82	1	https://hanab.live/history/ace201/Dr_Kakashi/TheDaniMan
ace201, joelw, lotem, nkkarpov, omegaxis	1.82	1	https://hanab.live/history/ace201/joelw/lotem/nkkarpov/omegaxis
angel-a, avanderwalde, Carunty, ejwu, newduke	1.82	1	https://hanab.live/history/angel-a/avanderwalde/Carunty/ejwu/newduke
antitelharsic, Cadenza, mystus, wshull, yagami_black	1.82	1	https://hanab.live/history/antitelharsic/Cadenza/mystus/wshull/yagami_black
asaelr, Bonja97, Fey, joelwool, TheDaniMan	1.82	1	https://hanab.live/history/asaelr/Bonja97/Fey/joelwool/TheDaniMan
asaelr, DMoney, Dr_Kakashi, Floriman, kimbifille	1.82	1	https://hanab.live/history/asaelr/DMoney/Dr_Kakashi/Floriman/kimbifille
asaelr, derekcheah, Dr_Kakashi, Livia, RaKXeR	1.82	1	https://hanab.live/history/asaelr/derekcheah/Dr_Kakashi/Livia/RaKXeR
asaelr, jeff10, Kyle, melwen, TimeHoodie	1.82	1	https://hanab.live/history/asaelr/jeff10/Kyle/melwen/TimeHoodie
bjnh, Damian000, Lanvin, MarcLovesDogs, torp	1.82	1	https://hanab.live/history/bjnh/Damian000/Lanvin/MarcLovesDogs/torp
bob65536, newduke, newsun	1.82	1	https://hanab.live/history/bob65536/newduke/newsun
florrat2, Hunter, Razgovor, theworstplayer, Yeesh	1.82	1	https://hanab.live/history/florrat2/Hunter/Razgovor/theworstplayer/Yeesh
frosty104, indego, melwen, Nitrate2, sephiroth	1.82	1	https://hanab.live/history/frosty104/indego/melwen/Nitrate2/sephiroth
4head, Libster, maxeymo, timotree	1.79	1	https://hanab.live/history/4head/Libster/maxeymo/timotree
4head, Neema, TheDaniMan	1.79	1	https://hanab.live/history/4head/Neema/TheDaniMan
4head, bjnh, louietyj, torp	1.79	1	https://hanab.live/history/4head/bjnh/louietyj/torp
4head, indego, kevincaseytdk1, Lanvin, rz	1.79	1	https://hanab.live/history/4head/indego/kevincaseytdk1/Lanvin/rz
4head, joano580, newsun	1.79	1	https://hanab.live/history/4head/joano580/newsun
4head, newsun, Tailz, TheDaniMan	1.79	1	https://hanab.live/history/4head/newsun/Tailz/TheDaniMan
Ahming, asaelr, James	1.79	1	https://hanab.live/history/Ahming/asaelr/James
Alkaven5, frosty104, ksfortson, MarcLovesDogs, StKildaFan	1.79	1	https://hanab.live/history/Alkaven5/frosty104/ksfortson/MarcLovesDogs/StKildaFan
Aluap, nitawa, Nitrate2, Sucubis, XMIL	1.79	1	https://hanab.live/history/Aluap/nitawa/Nitrate2/Sucubis/XMIL
Amy2, Animex52, catula, Nitrate2, Pablo-, Sucubis	1.79	1	https://hanab.live/history/Amy2/Animex52/catula/Nitrate2/Pablo-/Sucubis
Amy2, Nitrate, rz, wump	1.79	1	https://hanab.live/history/Amy2/Nitrate/rz/wump
BlueNovember, HelanaAshryvr, robense, TimeHoodie	1.79	1	https://hanab.live/history/BlueNovember/HelanaAshryvr/robense/TimeHoodie
Bonja97, Fireheart, Pablo-	1.79	1	https://hanab.live/history/Bonja97/Fireheart/Pablo-
Bonja97, derekcheah, ejwu	1.79	1	https://hanab.live/history/Bonja97/derekcheah/ejwu
Cocorifle, DMoney, maxeymo, wshull	1.79	1	https://hanab.live/history/Cocorifle/DMoney/maxeymo/wshull
Cory, James, Kyle, NoMercy, scharkbite	1.79	1	https://hanab.live/history/Cory/James/Kyle/NoMercy/scharkbite
DMoney, joano580, Kyle, micerang, Spieler42, TimeHoodie	1.79	1	https://hanab.live/history/DMoney/joano580/Kyle/micerang/Spieler42/TimeHoodie
DaBeast, dobi, newduke, scharkbite	1.79	1	https://hanab.live/history/DaBeast/dobi/newduke/scharkbite
Dr_Kakashi, Floriman, Lanvin, Lel0uch, MarkusKahlsen	1.79	1	https://hanab.live/history/Dr_Kakashi/Floriman/Lanvin/Lel0uch/MarkusKahlsen
Dr_Kakashi, IAMJEFF, NoMercy, qqqq	1.79	1	https://hanab.live/history/Dr_Kakashi/IAMJEFF/NoMercy/qqqq
