variant	count
Dark Rainbow & Cocoa Rainbow (6 Suits)	80
Prism & Dark Rainbow (5 Suits)	80
White & Null (6 Suits)	80
Rainbow-Fives (5 Suits)	80
Light Pink & Dark Prism (6 Suits)	80
Deceptive-Fives (6 Suits)	79
Clue Starved & White (5 Suits)	79
Prism & Dark Brown (6 Suits)	79
Muddy Rainbow & Prism (5 Suits)	79
Pink-Fives (4 Suits)	79
Dual-Color & Cocoa Rainbow (6 Suits)	78
Dual-Color & Dark Brown (6 Suits)	78
Dual-Color & Dark Pink (6 Suits)	78
Brown & Cocoa Rainbow (6 Suits)	78
White & Omni (4 Suits)	77
Omni-Fives (5 Suits)	77
Brown & Null (6 Suits)	77
White-Ones (4 Suits)	76
Light-Pink-Fives & Dark Omni (6 Suits)	76
White & Null (3 Suits)	76
White-Ones & Black (6 Suits)	75
Pink-Ones & Rainbow (6 Suits)	75
White-Fives & Dark Rainbow (6 Suits)	75
Null & Light Pink (6 Suits)	75
White-Ones & Gray (6 Suits)	75
Number Blind (5 Suits)	75
White-Ones & Rainbow (5 Suits)	74
Null & Muddy Rainbow (6 Suits)	74
Rainbow & Null (3 Suits)	74
Dual-Color & Prism (6 Suits)	73
Dual-Color & Omni (6 Suits)	73
Omni & Null (5 Suits)	73
Omni & Muddy Rainbow (3 Suits)	73
Prism & Dark Brown (5 Suits)	72
Muddy Rainbow & Dark Brown (6 Suits)	72
Prism Reversed (4 Suits)	71
Prism & Gray Pink (6 Suits)	71
Pink-Ones & Gray (5 Suits)	71
Rainbow-Ones (3 Suits)	71
Muddy Rainbow & Prism (6 Suits)	71
Muddy-Rainbow-Fives & Pink (6 Suits)	71
Alternating Clues & Rainbow (6 Suits)	71
Prism & Dark Omni (6 Suits)	71
Color Mute (6 Suits)	70
Brown & Gray Pink (5 Suits)	70
Pink & Gray Pink (5 Suits)	70
Light Pink & Dark Omni (6 Suits)	70
Dual-Color & Brown (6 Suits)	69
Dual-Color & Dark Prism (6 Suits)	69
Extremely Ambiguous & Black (6 Suits)	69
Rainbow & Muddy Rainbow (4 Suits)	68
White-Ones & Gray (5 Suits)	68
Omni & Dark Brown (5 Suits)	68
Omni & Dark Prism (5 Suits)	68
Alternating Clues & White (6 Suits)	67
White Reversed (4 Suits)	67
Muddy Rainbow & Gray (5 Suits)	67
Dark Pink & Dark Omni (6 Suits)	67
Pink & Prism (3 Suits)	66
Up or Down & Null (5 Suits)	66
Rainbow-Ones & Pink (5 Suits)	66
Brown & Omni (5 Suits)	66
Color Blind (3 Suits)	65
Brown & Dark Omni (5 Suits)	65
Dark Omni & Gray Pink (6 Suits)	64
Gray & Dark Omni (6 Suits)	64
Omni & Dark Rainbow (5 Suits)	64
Light Pink & Dark Pink (5 Suits)	64
White-Fives (6 Suits)	63
Null & Muddy Rainbow (3 Suits)	63
Brown-Ones & Dark Rainbow (6 Suits)	63
Brown-Ones & White (5 Suits)	63
Omni & Gray (5 Suits)	63
Light Pink & Gray (5 Suits)	62
Pink-Fives & Rainbow (5 Suits)	62
Brown-Ones & Rainbow (5 Suits)	62
Rainbow-Ones & Rainbow (6 Suits)	62
Rainbow & Dark Null (5 Suits)	61
Prism & Dark Pink (6 Suits)	61
Null & Light Pink (5 Suits)	61
Totally Blind (3 Suits)	61
Up or Down & Null (6 Suits)	61
Brown-Ones & Dark Brown (5 Suits)	60
Clue Starved & Light Pink (5 Suits)	60
Brown & Dark Prism (5 Suits)	60
Rainbow & Null (4 Suits)	60
Null & Dark Brown (6 Suits)	60
Muddy Rainbow & Gray Pink (6 Suits)	60
Omni & Light Pink (6 Suits)	60
Omni & Muddy Rainbow (6 Suits)	59
Omni-Fives & Omni (6 Suits)	59
Clue Starved & Null (6 Suits)	59
Light Pink & Dark Null (6 Suits)	58
Brown & Null (4 Suits)	58
Alternating Clues & Dark Rainbow (6 Suits)	58
Null-Fives & Dark Rainbow (6 Suits)	58
Omni-Ones (6 Suits)	57
Color Blind (4 Suits)	57
White & Cocoa Rainbow (5 Suits)	57
Clue Starved & Brown (6 Suits)	57
White & Omni (3 Suits)	57
Light Pink & Cocoa Rainbow (5 Suits)	57
Clue Starved & Pink (6 Suits)	57
Muddy Rainbow & Dark Omni (6 Suits)	56
Muddy Rainbow & Dark Brown (5 Suits)	56
White-Ones & Dark Null (6 Suits)	56
Brown & Omni (3 Suits)	56
Brown & Omni (4 Suits)	56
Up or Down & Light Pink (6 Suits)	56
Prism & Cocoa Rainbow (6 Suits)	56
Pink-Fives (3 Suits)	56
Omni & Null (4 Suits)	56
Null & Dark Rainbow (5 Suits)	56
Muddy Rainbow & Dark Prism (5 Suits)	56
Prism & Cocoa Rainbow (5 Suits)	55
Ambiguous & Pink (5 Suits)	55
Omni & Gray Pink (6 Suits)	55
Dual-Color & Gray Pink (6 Suits)	55
Light-Pink-Ones (6 Suits)	55
Clue Starved & Prism (6 Suits)	55
Alternating Clues (3 Suits)	55
Rainbow-Ones & Prism (6 Suits)	55
Brown-Ones & Rainbow (6 Suits)	55
Pink & Muddy Rainbow (3 Suits)	54
Rainbow-Ones & Cocoa Rainbow (6 Suits)	54
Pink-Fives & Rainbow (4 Suits)	54
Dark Pink & Dark Null (6 Suits)	54
Pink & Muddy Rainbow (4 Suits)	54
Brown-Ones (4 Suits)	54
Rainbow-Fives & White (6 Suits)	54
Rainbow-Ones & Dark Brown (5 Suits)	54
Omni-Fives (6 Suits)	54
Muddy Rainbow & Dark Pink (5 Suits)	53
White-Fives (4 Suits)	53
Pink-Ones & Black (6 Suits)	53
Prism & Dark Omni (5 Suits)	53
White & Dark Null (6 Suits)	53
Brown & Dark Omni (6 Suits)	53
Number Blind (6 Suits)	52
White & Light Pink (4 Suits)	52
Rainbow-Ones & Pink (3 Suits)	52
White & Prism (3 Suits)	52
Brown-Ones & Dark Rainbow (5 Suits)	52
White & Light Pink (3 Suits)	51
White-Ones & Dark Rainbow (6 Suits)	51
Pink-Ones & Brown (6 Suits)	51
Light-Pink-Fives & Dark Brown (6 Suits)	51
Light Pink & Dark Rainbow (6 Suits)	51
Clue Starved & Light Pink (6 Suits)	50
Null-Fives (5 Suits)	50
Dual-Color & Omni (4 Suits)	50
Rainbow & Muddy Rainbow (3 Suits)	50
Dual-Color & Dark Omni (6 Suits)	50
Rainbow Reversed (4 Suits)	50
Pink & Dark Null (5 Suits)	49
