player,teammate,weight
28zlou,Jenmophee,2
28zlou,JoyAnnie,1
28zlou,Mophee,1
28zlou,Ruiballer,4
28zlou,Skwirlio,3
28zlou,Yggep,1
29384,coffee123,3
29384,racheltkl4,3
2ayusufs,andrimariah,2
2ayusufs,ashleyrae,1
2ayusufs,FionaBollinger,2
2ayusufs,lkelly16,2
2ayusufs,shikhachand,2
2BootsAreBeet,crossproduct,13
2BootsAreBeet,Cynas,12
2BootsAreBeet,Lamguin,12
2BootsAreBeet,mokesmoe,4
2BootsAreBeet,xcpenguin,2
2bpooperscooper,560fivesixty,2
2bpooperscooper,Meteor,2
2bpooperscooper,MooseHerro,2
2brostudio,Crim,9
2brostudio,darkenblade986,11
2brostudio,ToLoveLu,2
2chainz,hope_gm,3
2chainz,jennjer,2
2chainz,pofraitmalmet,1
2chainz,rodmanrichard,1
2chainz,shiston,3
2chainz,sofih,2
2chainz,tfamodu,2
2chainz,willissilly,3
2coolforu,LolUSuck,1
2coolforu,varsh,1
2erki,sphinx,2
2friends,daviddavid,6
2friends,gudestuff,1
2friends,hjihong,2
2friends,jmjeyach,6
2go,greenadex,3
2go,JohnnyDee,26
2go,Marius,2
2go,mirceadino,1
2go,RolandMiculas,2
2go,Tigger67,4
2goody,MAXARIO,3
2goody,McMatt,5
2goody,normal_name,2
2Goood,B-Money,4
2Goood,MAXARIO,6
2Goood,McMatt,6
2Goood,normal_name,6
2Goood,twosock,2
2headedbutt,BurritoGuy,2
2headedbutt,perelman,2
2IncherPincher,Kermit,2
2IncherPincher,luwumi,2
2IncherPincher,Quackies,2
2JJ,grace19384792,7
2JJ,tyranasaurus,7
2JJ,xiaowuc1,1
2JKOBYINPU,PopTartPhone,1
2JKOBYINPU,WaterBottle,5
2kat,3ele,17
2kat,ColdTēa,10
2kat,dra,2
2kat,GarrettChan,17
2kat,Lnxy777,5
2kat,Utopia,4
2kevin2procopio,dman813,3
2kevin2procopio,holdenmc,11
2kevin2procopio,ichaelm,21
2kevin2procopio,Jbean97,5
2kevin2procopio,mtony921,16
2kevin2procopio,wojo1330,18
2LUKS,design,1
2LUKS,jimmithy,1
2p hater,Cory,3
2p hater,garselswikala2p,1
2p hater,Libster,4
2p hater,Razgovor,5
2p hater,Zamiel,5
2playhanabi,JoyAnnie,1
2playhanabi,Lilibeth,1
2playhanabi,Skwirlio,1
2playhanabi,Yggep,1
2steps,amzhng,50
2steps,chloey97,1
2steps,confucius,9
2steps,dante,5
2steps,Dawit,3
2steps,edwad,11
2steps,georgeqi,4
2steps,gqi,8
2steps,Guest123,47
2steps,hanabi_sik_play,71
2steps,harshgupta1311,15
2steps,hellohihihihi,2
2steps,kaladinsbless,6
2steps,kaladinsblessed,4
2steps,mattecon,3
2steps,NAG,15
2steps,ownagemaster,1
2steps,zephyredx,3
2steps123,amzhng,8
2steps123,confucius,4
2steps123,Guest123,8
2steps123,hanabi_sik_play,10
2theblackhole,cleacb,3
2theblackhole,jeauxsifeen,2
2theblackhole,keithdoberman,3
2theblackhole,scottccherry,2
2tickin,holly25,2
2tickin,LordJuba,2
2tickin,musa_memora,2
2tickin,Niu_Ninja,2
2tickin,Shippo,2
2vooger,anlong,2
2vooger,hoped,2
2vooger,szabom,2
2yzy,faybay,1
2yzy,fifiyun,1
2yzy,mystikalfogz,1
2yzy,teef,1
2yzy,YelloMamba,1
30303018,dar000,6
30303018,dingdong,20
30percentfight,fightingtrall,7
30percentfight,Just4Fun,1
30percentfight,kingdorman,4
30percentfight,mroopydoopy,6
30percentfight,otterful,1
30percentfight,RegularCoffee,4
30percentfight,ross_hunter,8
31283172398,lITCNWrpAJMbLoe,1
31283172398,wolfguy,1
31313131,kyutyotyotyo,3
31313131,sazana,3
313epb,4242,5
313epb,Dori,6
313epb,lo,3
313epb,maasson,1
313epb,VasilyK,7
313epb,vitsko,7
314Nikki,Animex52,2
314Nikki,catula,2
314Nikki,Delarosa413,1
314Nikki,dhruvpillai6,1
314Nikki,ezahid1662,2
314Nikki,KK47_Natural,4
314Nikki,penisman,4
